timestamp,trace_id,file,caller_function,callee_function,call_depth,line,test_case
2026-01-20T06:45:06.572215,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:06.576245,tc_001_login_success,main.py,,login,1,50,test_login_success
2026-01-20T06:45:06.611691,tc_001_login_success,auth.py,login,verify_password,2,25,test_login_success
2026-01-20T06:45:06.611691,tc_001_login_success,misc_func.py,verify_password,add_number,3,1,test_login_success
2026-01-20T06:45:07.072328,tc_001_login_success,auth.py,login,create_access_token,2,30,test_login_success
2026-01-20T06:45:07.088261,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.113418,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.116410,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:07.125614,tc_001_login_success,main.py,,get_my_info,1,60,test_login_success
2026-01-20T06:45:07.137246,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.139197,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.152011,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.152011,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:07.159025,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:07.161120,tc_001_login_success,main.py,,get_my_info,1,60,test_login_success
2026-01-20T06:45:07.171533,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.171533,tc_001_login_success,main.py,,get_my_notes,1,93,test_login_success
2026-01-20T06:45:07.185089,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.185089,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:07.185089,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:07.200616,tc_001_login_success,main.py,,get_my_notes,1,93,test_login_success
2026-01-20T06:45:07.210824,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:09.834181,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:09.834181,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:09.851098,tc_001_login_success,main.py,,create_note,1,77,test_login_success
2026-01-20T06:45:09.900549,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:09.900549,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:09.900549,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:09.916254,tc_001_login_success,main.py,,get_my_notes,1,93,test_login_success
2026-01-20T06:45:09.923621,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:12.917378,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:12.917378,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:12.925341,tc_001_login_success,main.py,,delete_note,1,127,test_login_success
2026-01-20T06:45:12.965713,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:12.968263,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:45:12.968263,tc_001_login_success,auth.py,,get_current_user,1,42,test_login_success
2026-01-20T06:45:12.968263,tc_001_login_success,main.py,,get_my_notes,1,93,test_login_success
2026-01-20T06:45:12.985813,tc_001_login_success,auth.py,,get_db,1,36,test_login_success
2026-01-20T06:59:32.348145,,auth.py,,get_db,1,36,
2026-01-20T06:59:32.348145,,main.py,,login,1,50,
2026-01-20T06:59:32.411136,,auth.py,login,verify_password,2,25,
2026-01-20T06:59:32.417251,,misc_func.py,verify_password,add_number,3,1,
2026-01-20T06:59:32.957446,,auth.py,login,create_access_token,2,30,
2026-01-20T06:59:32.963491,,auth.py,,get_db,1,36,
2026-01-20T06:59:32.979439,,auth.py,,get_db,1,36,
2026-01-20T06:59:32.982633,,auth.py,,get_current_user,1,42,
2026-01-20T06:59:32.989252,,main.py,,get_my_info,1,60,
2026-01-20T06:59:32.995020,,auth.py,,get_db,1,36,
2026-01-20T06:59:32.998944,,auth.py,,get_db,1,36,
2026-01-20T06:59:33.012912,,auth.py,,get_db,1,36,
er,1,42,
2026-01-20T06:59:33.018711,,auth.py,,get_current_user,1,42,
2026-01-20T06:59:33.029610,,auth.py,,get_db,1,36,
2026-01-20T06:59:33.030611,,main.py,,get_my_notes,1,93,
2026-01-20T06:59:33.044493,,auth.py,,get_db,1,36,
2026-01-20T06:59:33.047521,,auth.py,,get_db,1,36,
2026-01-20T06:59:33.050389,,auth.py,,get_current_user,1,42,
2026-01-20T06:59:33.060645,,main.py,,get_my_notes,1,93,
2026-01-20T06:59:33.074024,,auth.py,,get_db,1,36,
2026-01-20T06:59:35.577199,,auth.py,,get_db,1,36,
2026-01-20T06:59:35.577199,,auth.py,,get_current_user,1,42,
