timestamp,trace_id,file,caller_function,caller_function_id,callee_function,callee_function_id,callee_function_doc,callee_function_params,call_depth,line,test_case
2026-01-22T09:49:45.860592,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:45.867949,test_case_id_1,main.py,,,login,51c5f34f-a5f9-4152-909f-443d62045a40,"
    Authenticates user credentials.
    - Verifies username and password
    - Returns JWT access token on success
    ","['data', 'db']",1,117,test_case_1
2026-01-22T09:49:45.880958,test_case_id_1,auth.py,login,51c5f34f-a5f9-4152-909f-443d62045a40,verify_password,40885866-b394-4bf3-b659-938a9a1dc6c9,,"['plain_password', 'hashed_password']",2,25,test_case_1
2026-01-22T09:49:45.881352,test_case_id_1,misc_func.py,verify_password,40885866-b394-4bf3-b659-938a9a1dc6c9,add_number,c97b620e-7e05-4348-96fe-983c2f2791c8,,,3,1,test_case_1
2026-01-22T09:49:46.854723,test_case_id_1,auth.py,login,51c5f34f-a5f9-4152-909f-443d62045a40,create_access_token,1de269e5-96cc-4ffc-a61a-81d2a9daf38d,,['data'],2,30,test_case_1
2026-01-22T09:49:46.870827,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:46.903213,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:46.912879,test_case_id_1,auth.py,,,get_current_user,661f61ae-a5c4-4006-83ad-291207ab0ebb,,"['credentials', 'db']",1,42,test_case_1
2026-01-22T09:49:46.920553,test_case_id_1,main.py,,,get_my_info,3c5423ad-c2b1-4ec7-b9fa-1ed66e906ee5,"
    Returns details of the currently authenticated user.
    ",['current_user'],1,138,test_case_1
2026-01-22T09:49:46.940877,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:46.953925,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:46.978574,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:46.982490,test_case_id_1,auth.py,,,get_current_user,661f61ae-a5c4-4006-83ad-291207ab0ebb,,"['credentials', 'db']",1,42,test_case_1
2026-01-22T09:49:46.994727,test_case_id_1,auth.py,,,get_current_user,661f61ae-a5c4-4006-83ad-291207ab0ebb,,"['credentials', 'db']",1,42,test_case_1
2026-01-22T09:49:46.996244,test_case_id_1,main.py,,,get_my_info,3c5423ad-c2b1-4ec7-b9fa-1ed66e906ee5,"
    Returns details of the currently authenticated user.
    ",['current_user'],1,138,test_case_1
2026-01-22T09:49:47.012900,test_case_id_1,main.py,,,get_my_notes,c3017cf4-bcfa-490b-839c-d2da170d8863,"
    Retrieves all notes belonging to the current user.
    ","['db', 'current_user']",1,190,test_case_1
2026-01-22T09:49:47.027556,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:47.049457,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:47.052343,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:47.056364,test_case_id_1,auth.py,,,get_current_user,661f61ae-a5c4-4006-83ad-291207ab0ebb,,"['credentials', 'db']",1,42,test_case_1
2026-01-22T09:49:47.074123,test_case_id_1,main.py,,,get_my_notes,c3017cf4-bcfa-490b-839c-d2da170d8863,"
    Retrieves all notes belonging to the current user.
    ","['db', 'current_user']",1,190,test_case_1
2026-01-22T09:49:47.094414,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:49.399595,test_case_id_1,auth.py,,,get_db,a6cb05f8-525c-41a7-a7bd-3c5068770cab,,,1,36,test_case_1
2026-01-22T09:49:49.399595,test_case_id_1,auth.py,,,get_current_user,661f61ae-a5c4-4006-83ad-291207ab0ebb,,"['credentials', 'db']",1,42,test_case_1
